Country,Date,Confirmed,Deaths,Recovered
Mainland China,2020-01-22,547.0,17.0,28.0
Mainland China,2020-01-23,639.0,18.0,30.0
Mainland China,2020-01-24,916.0,26.0,36.0
Mainland China,2020-01-25,1399.0,42.0,39.0
Mainland China,2020-01-26,2062.0,56.0,49.0
Mainland China,2020-01-27,2863.0,82.0,58.0
Mainland China,2020-01-28,5494.0,131.0,101.0
Mainland China,2020-01-29,6070.0,133.0,120.0
Mainland China,2020-01-30,8124.0,171.0,135.0
Mainland China,2020-01-31,9783.0,213.0,214.0
Mainland China,2020-02-01,11871.0,259.0,275.0
Mainland China,2020-02-02,16607.0,361.0,463.0
Mainland China,2020-02-03,19693.0,425.0,614.0
Mainland China,2020-02-04,23680.0,490.0,843.0
Mainland China,2020-02-05,27409.0,562.0,1115.0
Mainland China,2020-02-06,30553.0,632.0,1476.0
Mainland China,2020-02-07,34075.0,717.0,1998.0
Mainland China,2020-02-08,36778.0,804.0,2595.0
Mainland China,2020-02-09,39790.0,904.0,3218.0
Mainland China,2020-02-10,42306.0,1011.0,3917.0
Mainland China,2020-02-11,44327.0,1111.0,4635.0
Mainland China,2020-02-12,44699.0,1116.0,5079.0
Mainland China,2020-02-13,59832.0,1368.0,6213.0
Mainland China,2020-02-14,66292.0,1520.0,7973.0
Mainland China,2020-02-15,68347.0,1662.0,9294.0
Mainland China,2020-02-16,70446.0,1765.0,10748.0
Mainland China,2020-02-17,72364.0,1863.0,12455.0
Mainland China,2020-02-18,74139.0,2002.0,14199.0
Mainland China,2020-02-19,74546.0,2114.0,15952.0
Mainland China,2020-02-20,74999.0,2236.0,18002.0
Mainland China,2020-02-21,75472.0,2236.0,18693.0
Mainland China,2020-02-22,76922.0,2441.0,22687.0
Mainland China,2020-02-23,76938.0,2443.0,23170.0
Mainland China,2020-02-24,77152.0,2593.0,24990.0
Mainland China,2020-02-25,77660.0,2663.0,27650.0
Mainland China,2020-02-26,78065.0,2715.0,30053.0
Mainland China,2020-02-27,78498.0,2744.0,32898.0
Mainland China,2020-02-28,78824.0,2788.0,36291.0
Mainland China,2020-02-29,79251.0,2835.0,39279.0
Mainland China,2020-03-01,79826.0,2870.0,42118.0
Mainland China,2020-03-02,80026.0,2912.0,44810.0
Mainland China,2020-03-03,80151.0,2945.0,47404.0
Mainland China,2020-03-04,80271.0,2981.0,49955.0
Mainland China,2020-03-05,80422.0,3013.0,52240.0
Mainland China,2020-03-06,80573.0,3042.0,53888.0
Mainland China,2020-03-07,80652.0,3070.0,55478.0
Mainland China,2020-03-08,80699.0,3097.0,57320.0
Mainland China,2020-03-09,80735.0,3120.0,58735.0
Mainland China,2020-03-10,80757.0,3136.0,60106.0
Mainland China,2020-03-11,80785.0,3158.0,61569.0
Mainland China,2020-03-12,80793.0,3169.0,62824.0
Mainland China,2020-03-13,80801.0,3176.0,64109.0
Mainland China,2020-03-14,80827.0,3189.0,65572.0
Mainland China,2020-03-15,80848.0,3199.0,66926.0
Mainland China,2020-03-16,80867.0,3213.0,67816.0
Mainland China,2020-03-17,80884.0,3226.0,68700.0
Mainland China,2020-03-18,80906.0,3237.0,69653.0
